Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Sainju et al. 2015,10.1186/s40064-015-1122-4,Spring wheat-pea rotation,Fall and spring till,,NA,NA,NA,NA,"Spring wheat-pea rotation, Fall and spring till",3,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Spring wheat-fallow rotation,Spring till,,NA,NA,NA,NA,"Spring wheat-fallow rotation, Spring till",4,
Mazzoncini et al. 2008,10.2134/agronj2007.0173,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Wang et al. 2008,10.2134/agronj2008.0012,Cowpea incorporated,NA,NA,NA,NA,NA,NA,Cowpea incorporated,3,
Wang et al. 2008,10.2134/agronj2008.0012,Cowpea used as mulch,NA,NA,NA,NA,NA,NA,Cowpea used as mulch,4,
Wang et al. 2008,10.2134/agronj2008.0012,Integrated crop management,NA,NA,NA,NA,NA,NA,Integrated crop management,5,
Wang et al. 2008,10.2134/agronj2008.0012,Organic management,NA,NA,NA,NA,NA,NA,Organic management,6,
Wang et al. 2008,10.2134/agronj2008.0012,Sudangrass incorporated,NA,NA,NA,NA,NA,NA,Sudangrass incorporated,7,
Wang et al. 2008,10.1016/j.geoderma.2008.01.003,No till,Straw cover,NA,NA,NA,NA,NA,"No till, Straw cover",9,
Wang et al. 2008,10.1016/j.geoderma.2008.01.003,Traditional tillage,Straw removal,NA,NA,NA,NA,NA,"Traditional tillage, Straw removal",8,
Sainju et al. 2010,10.2134/agronj2010.0216,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,NA,NA,NA,NA,NA,NA,Continuous spring wheat,1,1
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,NA,NA,NA,NA,NA,NA,Spring wheat-fallow rotation,2,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,NA,NA,NA,NA,NA,NA,Winter wheat-fallow rotation,3,
Sainju et al. 2010,10.2134/agronj2010.0216,Chemical weed management,NA,NA,NA,NA,NA,NA,Chemical weed management,4,
Sainju et al. 2010,10.2134/agronj2010.0216,Mechanical weed management,NA,NA,NA,NA,NA,NA,Mechanical weed management,5,
Sainju et al. 2010,10.2134/agronj2010.0216,Grazing weed management,NA,NA,NA,NA,NA,NA,Grazing weed management,6,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Chemical weed management,NA,NA,NA,NA,NA,"Continuous spring wheat, Chemical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Mechanical weed management,NA,NA,NA,NA,NA,"Continuous spring wheat, Mechanical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Grazing weed management,NA,NA,NA,NA,NA,"Continuous spring wheat, Grazing weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Chemical weed management,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Chemical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Mechanical weed management,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Mechanical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Grazing weed management,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Grazing weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Chemical weed management,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Chemical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Mechanical weed management,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Mechanical weed management",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Grazing weed management,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Grazing weed management",,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Molboard plow,NA,NA,NA,NA,NA,"No fertilizer control, Molboard plow",1,1
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Chisel plow,NA,NA,NA,NA,NA,"No fertilizer control, Chisel plow",1,1
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Alternate tillage,NA,NA,NA,NA,NA,"No fertilizer control, Alternate tillage",2,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,No-till,NA,NA,NA,NA,NA,"No fertilizer control, No-till",3,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Molboard plow,NA,NA,NA,NA,NA,"N-only, Molboard plow",4,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Chisel plow,NA,NA,NA,NA,NA,"N-only, Chisel plow",5,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Alternate tillage,NA,NA,NA,NA,NA,"N-only, Alternate tillage",6,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,No-till,NA,NA,NA,NA,NA,"N-only, No-till",7,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Molboard plow,NA,NA,NA,NA,NA,"NPK, Molboard plow",8,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Chisel plow,NA,NA,NA,NA,NA,"NPK, Chisel plow",9,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Alternate tillage,NA,NA,NA,NA,NA,"NPK, Alternate tillage",10,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,No-till,NA,NA,NA,NA,NA,"NPK, No-till",11,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Summit landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Summit landscape position",,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Backslope landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Backslope landscape position",,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Footslope landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Footslope landscape position",,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,NA,NA,NA,NA,NA,NA,NA,NA,,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Offset disk plow,NA,NA,NA,NA,NA,NA,Offset disk plow,2,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Subsurface sweep tillage,NA,NA,NA,NA,NA,NA,Subsurface sweep tillage,3,
Curtin et al. 2000,10.2136/sssaj2000.6462080x,Conventional tillage,Continuous wheat rotation,Site placeholder,NA,NA,NA,NA,"Conventional tillage, Continuous wheat rotation, Site placeholder",1,1
Curtin et al. 2000,10.2136/sssaj2000.6462080x,No till,Continuous wheat rotation,Site placeholder,NA,NA,NA,NA,"No till, Continuous wheat rotation, Site placeholder",2,
Curtin et al. 2000,10.2136/sssaj2000.6462080x,Conventional tillage,Fallow-wheat rotation,Site placeholder,NA,NA,NA,NA,"Conventional tillage, Fallow-wheat rotation, Site placeholder",3,
Curtin et al. 2000,10.2136/sssaj2000.6462080x,No till,Fallow-wheat rotation,Site placeholder,NA,NA,NA,NA,"No till, Fallow-wheat rotation, Site placeholder",4,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,Control,NA,NA,NA,NA,NA,NA,Control,,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,Burnt,NA,NA,NA,NA,NA,NA,Burnt,,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,1 year after burnt,NA,NA,NA,NA,NA,NA,1 year after burnt,,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"No till, 0 kg N ha-1, Residue harvest",1,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1, Residue harvest",3,1
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Chisel plow, 0 kg N ha-1, Residue harvest",2,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,0 kg N ha-1,Residue return,NA,NA,NA,NA,"No till, 0 kg N ha-1, Residue return",4,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,0 kg N ha-1,Residue return,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1, Residue return",6,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,0 kg N ha-1,Residue return,NA,NA,NA,NA,"Chisel plow, 0 kg N ha-1, Residue return",5,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"No till, 200 kg N ha-1, Residue harvest",7,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Moldboard plow, 200 kg N ha-1, Residue harvest",9,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Chisel plow, 200 kg N ha-1, Residue harvest",8,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,200 kg N ha-1,Residue return,NA,NA,NA,NA,"No till, 200 kg N ha-1, Residue return",10,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,200 kg N ha-1,Residue return,NA,NA,NA,NA,"Moldboard plow, 200 kg N ha-1, Residue return",12,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,200 kg N ha-1,Residue return,NA,NA,NA,NA,"Chisel plow, 200 kg N ha-1, Residue return",11,
Omonode et al. 2006,10.2136/sssaj2005.0083,No till,NA,NA,NA,NA,NA,NA,No till,2,
Omonode et al. 2006,10.2136/sssaj2005.0083,"Moldboard plow 1980-1996, chisel plow 1997, no till 1998-2003",NA,NA,NA,NA,NA,NA,"Moldboard plow 1980-1996, chisel plow 1997, no till 1998-2003",3,
Omonode et al. 2006,10.2136/sssaj2005.0083,"Moldboard plow 1980-1996, chisel plow 1997-2003",NA,NA,NA,NA,NA,NA,"Moldboard plow 1980-1996, chisel plow 1997-2003",1,1
Omonode et al. 2006,10.2136/sssaj2005.0083,Chisel plow,NA,NA,NA,NA,NA,NA,Chisel plow,1,1
Omonode et al. 2006,10.2136/sssaj2005.0083,Maize-maize rotation,NA,NA,NA,NA,NA,NA,Maize-maize rotation,1,1
Omonode et al. 2006,10.2136/sssaj2005.0083,Soybean-maize rotation,NA,NA,NA,NA,NA,NA,Soybean-maize rotation,2,
Poirer et al. 2009,10.2136/sssaj2008.0006,Consistent soil properties,NA,NA,NA,NA,NA,NA,Consistent soil properties,0,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,NA,NA,NA,NA,NA,NA,No till,2,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Poirer et al. 2009,10.2136/sssaj2008.0006,0 kg N ha-1,NA,NA,NA,NA,NA,NA,0 kg N ha-1,1,1
Poirer et al. 2009,10.2136/sssaj2008.0006,80 kg N ha-1,NA,NA,NA,NA,NA,NA,80 kg N ha-1,3,
Poirer et al. 2009,10.2136/sssaj2008.0006,160 kg N ha-1,NA,NA,NA,NA,NA,NA,160 kg N ha-1,4,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,0 kg N ha-1,NA,NA,NA,NA,NA,"No till, 0 kg N ha-1",5,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,80 kg N ha-1,NA,NA,NA,NA,NA,"No till, 80 kg N ha-1",6,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,160 kg N ha-1,NA,NA,NA,NA,NA,"No till, 160 kg N ha-1",7,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,0 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1",1,1
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,80 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 80 kg N ha-1",8,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,160 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 160 kg N ha-1",9,
Poirer et al. 2009,10.2136/sssaj2008.0006,0 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"0 kg P2O5 ha-1, 160 kg N ha-1",1,1
Poirer et al. 2009,10.2136/sssaj2008.0006,40 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"40 kg P2O5 ha-1, 160 kg N ha-1",10,
Poirer et al. 2009,10.2136/sssaj2008.0006,80 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"80 kg P2O5 ha-1, 160 kg N ha-1",11,
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous maize,No till,Inorganic fertilizer,NA,NA,NA,NA,"Continuous maize, No till, Inorganic fertilizer",2,2
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous maize,No till,Poultry litter,NA,NA,NA,NA,"Continuous maize, No till, Poultry litter",2,2
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous maize,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous maize, Conventional tillage, Inorganic fertilizer",1,1
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous maize,Conventional tillage,Poultry litter,NA,NA,NA,NA,"Continuous maize, Conventional tillage, Poultry litter",1,1
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous soybean,No till,Inorganic fertilizer,NA,NA,NA,NA,"Continuous soybean, No till, Inorganic fertilizer",2,2
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous soybean,No till,Poultry litter,NA,NA,NA,NA,"Continuous soybean, No till, Poultry litter",2,2
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous soybean,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous soybean, Conventional tillage, Inorganic fertilizer",1,1
Watts et al. 2010,10.2136/sssaj2008.0415,Continuous soybean,Conventional tillage,Poultry litter,NA,NA,NA,NA,"Continuous soybean, Conventional tillage, Poultry litter",1,1
Halpern et al. 2010,10.2136/sssaj2009.0406,No till,High residue input,NA,NA,NA,NA,NA,"No till, High residue input",6,
Halpern et al. 2010,10.2136/sssaj2009.0406,No till,Low residue input,NA,NA,NA,NA,NA,"No till, Low residue input",5,
Halpern et al. 2010,10.2136/sssaj2009.0406,Reduced tillage,High residue input,NA,NA,NA,NA,NA,"Reduced tillage, High residue input",4,
Halpern et al. 2010,10.2136/sssaj2009.0406,Reduced tillage,Low residue input,NA,NA,NA,NA,NA,"Reduced tillage, Low residue input",3,
Halpern et al. 2010,10.2136/sssaj2009.0406,Conventional tillage,High residue input,NA,NA,NA,NA,NA,"Conventional tillage, High residue input",2,
Halpern et al. 2010,10.2136/sssaj2009.0406,Conventional tillage,Low residue input,NA,NA,NA,NA,NA,"Conventional tillage, Low residue input",1,1
Kumar et al. 2012,10.2136/sssaj2012.0055,Plow tillage,NA,NA,NA,NA,NA,NA,Plow tillage,1,1
Kumar et al. 2012,10.2136/sssaj2012.0055,Minimum tillage,NA,NA,NA,NA,NA,NA,Minimum tillage,2,
Kumar et al. 2012,10.2136/sssaj2012.0055,No till,NA,NA,NA,NA,NA,NA,No till,3,
Kumar et al. 2012,10.2136/sssaj2012.0055,Woodlot area (undisturbed soil),NA,NA,NA,NA,NA,NA,Woodlot area (undisturbed soil),0,
Kumar et al. 2012,10.2136/sssaj2012.0055,Continuous maize,NA,NA,NA,NA,NA,NA,Continuous maize,4,
Kumar et al. 2012,10.2136/sssaj2012.0055,Maize-soybean rotation,NA,NA,NA,NA,NA,NA,Maize-soybean rotation,5,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Conventional tillage,No residue removal,NA,NA,NA,NA,NA,"Conventional tillage, No residue removal",2,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Conventional tillage,Medium residue removal,NA,NA,NA,NA,NA,"Conventional tillage, Medium residue removal",3,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Conventional tillage,High residue removal,NA,NA,NA,NA,NA,"Conventional tillage, High residue removal",1,1
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,No residue removal,NA,NA,NA,NA,NA,"No till, No residue removal",4,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,Medium residue removal,NA,NA,NA,NA,NA,"No till, Medium residue removal",5,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,High residue removal,NA,NA,NA,NA,NA,"No till, High residue removal",6,
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Continuous cotton,Conventional tillage,NA,NA,NA,NA,NA,"Continuous cotton, Conventional tillage",1,1
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Continuous cotton,Minimum tillage,NA,NA,NA,NA,NA,"Continuous cotton, Minimum tillage",2,
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Cotton-wheat rotation,Minimum tillage,NA,NA,NA,NA,NA,"Cotton-wheat rotation, Minimum tillage",3,
Booher et al. 2012,10.3958/059.037.0103,Control,NA,NA,NA,NA,NA,NA,Control,1,1
Booher et al. 2012,10.3958/059.037.0103,"Beef manure, 168 kg N ha-1",NA,NA,NA,NA,NA,NA,"Beef manure, 168 kg N ha-1",2,
Booher et al. 2012,10.3958/059.037.0103,"Beef manure, 504 kg N ha-1",NA,NA,NA,NA,NA,NA,"Beef manure, 504 kg N ha-1",3,
Booher et al. 2012,10.3958/059.037.0103,"Swine effluent, 168 kg N ha-1",NA,NA,NA,NA,NA,NA,"Swine effluent, 168 kg N ha-1",4,
Booher et al. 2012,10.3958/059.037.0103,"Swine effluent, 504 kg N ha-1",NA,NA,NA,NA,NA,NA,"Swine effluent, 504 kg N ha-1",5,
Booher et al. 2012,10.3958/059.037.0103,"Anhyrdous ammonia, 168 kg N ha-1",NA,NA,NA,NA,NA,NA,"Anhyrdous ammonia, 168 kg N ha-1",6,
Booher et al. 2012,10.3958/059.037.0103,"Anhyrdous ammonia, 504 kg N ha-1",NA,NA,NA,NA,NA,NA,"Anhyrdous ammonia, 504 kg N ha-1",7,
Sommer et al. 2014,10.4236/ojss.2014.43015,B7 trial,N fertilizer applied,,,,,,"B7 trial, N fertilizer applied",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B7 trial,No N fertilizer applied,,,,,,"B7 trial, No N fertilizer applied",,1
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Conventional tillage,Early planting,Residues partly removed,,,,"C16 trial, Conventional tillage, Early planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,No till,Early planting,Residues partly removed,NA,NA,NA,"C16 trial, No till, Early planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 1,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 1, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 1,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 1, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 2,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 2, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 2,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 2, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 3,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 3, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 3,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 3, No till, Early planting, Residues retained",,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,no cover crop,moldboard plow tillage,no cc rotation,,,,,"no cover crop, moldboard plow tillage, no cc rotation",1,1
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,hairy vetch cc,moldboard plow tillage,rotation,,,,,"hairy vetch cc, moldboard plow tillage, rotation",2,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,no cover crop,chisel plow tillage,no cc rotation,,,,,"no cover crop, chisel plow tillage, no cc rotation",1,1
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,hairy vetch cc,chisel plow tillage,rotation,,,,,"hairy vetch cc, chisel plow tillage, rotation",3,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,no cover crop,no tillage,no cc rotation,,,,,"no cover crop, no tillage, no cc rotation",4,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,hairy vetch cc,no tillage,rotation,,,,,"hairy vetch cc, no tillage, rotation",5,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,winter rye cc,moldboard plow tillage,rotation,,,,,"winter rye cc, moldboard plow tillage, rotation",6,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,winter rye cc,chisel plow tillage,rotation,,,,,"winter rye cc, chisel plow tillage, rotation",7,
Olson et al. 2010,10.1097/SS.0b013e3181cf7959,winter rye cc,no tillage,rotation,,,,,"winter rye cc, no tillage, rotation",8,
Kaspar et al. 2006,10.2136/sssaj2005.0095,no cover crop,no tillage,rotation,,,,,"no cover crop, no tillage, rotation",1,1
Kaspar et al. 2006,10.2136/sssaj2005.0095,oat-rye cc,no tillage,rotation,,,,,"oat-rye cc, no tillage, rotation",2,
Kaspar et al. 2006,10.2136/sssaj2005.0095,oat cc,no tillage,rotation,,,,,"oat cc, no tillage, rotation",3,
Kaspar et al. 2006,10.2136/sssaj2005.0095,rye cc,no tillage,rotation,,,,,"rye cc, no tillage, rotation",4,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,no tillage,rotation,CNW association,,, ,"2-tillage experiment, no tillage, rotation, CNW association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,chisel plow tillage,rotation,CNW association,,,,"2-tillage experiment, chisel plow tillage, rotation, CNW association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,no tillage,rotation,GPS association,,,,"2-tillage experiment, no tillage, rotation, GPS association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,chisel plow tillage,rotation,GPS association,,,,"2-tillage experiment, chisel plow tillage, rotation, GPS association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,no tillage,rotation,KFC association,,,,"2-tillage experiment, no tillage, rotation, KFC association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,chisel plow tillage,rotation,KFC association,,,,"2-tillage experiment, chisel plow tillage, rotation, KFC association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,no tillage,rotation,M association,,,,"2-tillage experiment, no tillage, rotation, M association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,chisel plow tillage,rotation,M association,,,,"2-tillage experiment, chisel plow tillage, rotation, M association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,no tillage,rotation,OMT association,,,,"2-tillage experiment, no tillage, rotation, OMT association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,2-tillage experiment,chisel plow tillage,rotation,OMT association,,,,"2-tillage experiment, chisel plow tillage, rotation, OMT association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,5-tillage experiment,no tillage,rotation,CNW association,,,,"5-tillage experiment, no tillage, rotation, CNW association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,5-tillage experiment,chisel plow tillage,rotation,CNW association,,,,"5-tillage experiment, chisel plow tillage, rotation, CNW association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,5-tillage experiment,strip tillage,rotation,CNW association,,,,"5-tillage experiment, strip tillage, rotation, CNW association",2,
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,5-tillage experiment,deep ripping,rotation,CNW association,,,,"5-tillage experiment, deep ripping, rotation, CNW association",1,1
Al-Kaisi et al. 2005,10.1016/j.agee.2004.08.002,5-tillage experiment,moldboard plow tillage,rotation,CNW association,,,,"5-tillage experiment, moldboard plow tillage, rotation, CNW association",1,1
Campbell et al. 2007,10.4141/S06-018,no irrigation,32.5 kg N ha-1,9.6 kg P ha -1,,,,,"no irrigation, 32.5 kg N ha-1, 9.6 kg P ha -1",,
Campbell et al. 2007,10.4141/S06-018,no irrigation,46.5 kg N ha-1,9.6 kg P ha -1,,,,,"no irrigation, 46.5 kg N ha-1, 9.6 kg P ha -1",,
Datta et al. 2010,10.1002/jpln.200900010,irrigation,0 kg N ha-1,26 kg P ha-1,,,,,"irrigation, 0 kg N ha-1, 26 kg P ha-1",,
Datta et al. 2010,10.1002/jpln.200900010,irrigation,120 kg N ha-1,26 kg P ha-1,,,,,"irrigation, 120 kg N ha-1, 26 kg P ha-1",,
Datta et al. 2010,10.1002/jpln.200900010,irrigation,180 kg N ha-1,26 kg P ha-1,,,,,"irrigation, 180 kg N ha-1, 26 kg P ha-1",,
Yang et al. 2015,10.1016/j.still.2014.06.011,irrigation,0 kg N ha-1,0 kg P ha-1,,,,,"irrigation, 0 kg N ha-1, 0 kg P ha-1",,
Yang et al. 2015,10.1016/j.still.2014.06.011,irrigation,90 kg N ha-1,26.184 kg P ha-1,,,,,"irrigation, 90 kg N ha-1, 26.184 kg P ha-1",,
Yang et al. 2015,10.1016/j.still.2014.06.011,irrigation,180 kg N ha-1,52.368 kg P ha-1,,,,,"irrigation, 180 kg N ha-1, 52.368 kg P ha-1",,
Yang et al. 2015,10.1016/j.still.2014.06.011,irrigation,360 kg N ha-1,104.736 kg P ha-1,,,,,"irrigation, 360 kg N ha-1, 104.736 kg P ha-1",,
Zhang et al. 2009,10.1007/s10705-008-9226-7,no irrigation,0 kg N ha-1,0 kg P ha-1,,,,,"no irrigation, 0 kg N ha-1, 0 kg P ha-1",1,1
Zhang et al. 2009,10.1007/s10705-008-9226-7,no irrigation,210 kg N ha-1,37 kg P ha-1,,,,,"no irrigation, 210 kg N ha-1, 37 kg P ha-1",4,
Zhang et al. 2009,10.1007/s10705-008-9226-7,no irrigation,0 kg N ha-1,16 kg P ha-1,,,,,"no irrigation, 0 kg N ha-1, 16 kg P ha-1",2,
Zhang et al. 2009,10.1007/s10705-008-9226-7,no irrigation,90 kg N ha-1,16 kg P ha-1,,,,,"no irrigation, 90 kg N ha-1, 16 kg P ha-1",3,
Carter and Sanderson 2001,10.1016/S0167-1987(01)00224-0,2-year rotation,Moldboard plow,,,,,,"2-year rotation, Moldboard plow",1,1
Carter and Sanderson 2001,10.1016/S0167-1987(01)00224-0,2-year rotation,Chisel plow,,,,,,"2-year rotation, Chisel plow",1,1
Carter and Sanderson 2001,10.1016/S0167-1987(01)00224-0,3-year rotation,Moldboard plow,,,,,,"3-year rotation, Moldboard plow",2,
Carter and Sanderson 2001,10.1016/S0167-1987(01)00224-0,3-year rotation,Chisel plow,,,,,,"3-year rotation, Chisel plow",3,
